Days,Values
2016-08-17,35.91
2016-08-18,36.290001
2016-08-19,36.450001
2016-08-22,36.400002
2016-08-23,36.82
2016-08-24,36.564999
2016-08-25,36.669998
2016-08-26,37.07
2016-08-29,37.470001
2016-08-30,37.5
2016-08-31,37.490002
2016-09-01,37.5
2016-09-02,37.669998
2016-09-06,37.834999
2016-09-07,37.794998
2016-09-08,37.799999
2016-09-09,37.779999
2016-09-12,37.584999
2016-09-13,37.470001
2016-09-14,37.27
2016-09-15,36.990002
2016-09-16,37.549999
2016-09-19,36.939999
2016-09-20,36.880001
2016-09-21,37.119999
2016-09-22,37.450001
2016-09-23,37.130001
2016-09-26,36.509998
2016-09-27,36.689999
2016-09-28,36.82
2016-09-29,37.349998
2016-09-30,37.75
2016-10-03,37.700001
2016-10-04,37.650002
2016-10-05,37.279999
2016-10-06,36.799999
2016-10-07,36.825001
2016-10-10,36.695
2016-10-11,36.68
2016-10-12,36.549999
2016-10-13,36.459999
2016-10-14,36.759998
2016-10-17,36.740002
2016-10-18,37.389999
2016-10-19,37.669998
2016-10-20,37.685001
2016-10-21,37.790001
2016-10-24,37.849998
2016-10-25,37.849998
2016-10-26,37.779999
2016-10-27,37.529999
2016-10-28,37.244999
2016-10-31,37.32
2016-11-01,37.27
2016-11-02,37.169998
2016-11-03,36.900002
2016-11-04,36.25
2016-11-07,35.939999
2016-11-08,35.884998
2016-11-09,35.810001
2016-11-10,36.110001
2016-11-11,35.959999
2016-11-14,35.924999
2016-11-15,35.66
2016-11-16,35.040001
2016-11-17,35.465
2016-11-18,35.389999
2016-11-21,36.02
2016-11-22,36.049999
2016-11-23,36.075001
2016-11-25,35.740002
2016-11-28,36.02
2016-11-29,36
2016-11-30,36.185001
2016-12-01,36.150002
2016-12-02,35.32
2016-12-05,35.169998
2016-12-06,35.25
2016-12-07,35.490002
2016-12-08,36.029999
2016-12-09,35.974998
2016-12-12,36.060001
2016-12-13,36.099998
2016-12-14,35.32
2016-12-15,35.380001
2016-12-16,34.952999
2016-12-19,34.830002
2016-12-20,35.310001
2016-12-21,35.57
2016-12-22,35.630001
2016-12-23,35.794998
2016-12-27,35.599998
2016-12-28,35.450001
2016-12-29,35.400002
2016-12-30,35.580002
2017-01-03,36.119999
2017-01-04,36.23
2017-01-05,36.580002
2017-01-06,36.779999
2017-01-09,36.805
2017-01-10,36.740002
2017-01-11,36.82
2017-01-12,36.860001
2017-01-13,37.110001
2017-01-17,38.34
2017-01-18,38.630001
2017-01-19,38.75
2017-01-20,38.82
2017-01-23,38.98
2017-01-24,39.119999
2017-01-25,39.880001
2017-01-26,39.98
2017-01-27,39.52
2017-01-30,39.764999
2017-01-31,39.66
2017-02-01,39.669998
2017-02-02,39.5
2017-02-03,39.775002
2017-02-06,39.755001
2017-02-07,39.689999
2017-02-08,39.889999
2017-02-09,39.939999
2017-02-10,39.950001
2017-02-13,39.959999
2017-02-14,39.970001
2017-02-15,40.720001
2017-02-16,40.880001
2017-02-17,40.380001
2017-02-21,40.740002
2017-02-22,40.689999
2017-02-23,40.650002
2017-02-24,40.400002
2017-02-27,40.27
2017-02-28,40.290001
2017-03-01,40.98
2017-03-02,40.875
2017-03-03,40.889999
2017-03-06,40.799999
2017-03-07,40.810001
2017-03-08,41
2017-03-09,40.689999
2017-03-10,40.389999
2017-03-13,40.639999
2017-03-14,40.59
2017-03-15,40.93
2017-03-16,40.98
2017-03-17,40.82
2017-03-20,40.825001
2017-03-21,40.799999
2017-03-22,40.610001
2017-03-23,40.740002
2017-03-24,40.599998
2017-03-27,40.240002
2017-03-28,41.810001
2017-03-29,41.82
2017-03-30,41.758999
2017-03-31,42.18
2017-04-03,42.200001
2017-04-04,42.044998
2017-04-05,42.299999
2017-04-06,42.290001
2017-04-07,42.34
2017-04-10,42.404999
2017-04-11,42.450001
2017-04-12,42.619999
2017-04-13,42.59
2017-04-17,42.68
2017-04-18,42.799999
2017-04-19,43.060001
2017-04-20,43.5
2017-04-21,43.540001
2017-04-24,43.959999
2017-04-25,43.919998
2017-04-26,44
2017-04-27,43.990002
2017-04-28,44
2017-05-01,43.75
2017-05-02,43.790001
2017-05-03,43.73
2017-05-04,43.919998
2017-05-05,43.830002
2017-05-08,44
2017-05-09,43.98
2017-05-10,43.900002
2017-05-11,43.709999
2017-05-12,43.5
2017-05-15,43.740002
2017-05-16,43.900002
2017-05-17,43.900002
2017-05-18,44.299999
2017-05-19,44.470001
2017-05-22,44.880001
2017-05-23,44.849998
2017-05-24,45.029999
2017-05-25,47.060001
2017-05-26,46.470001
2017-05-30,46.389999
2017-05-31,46.5
2017-06-01,46.939999
2017-06-02,47.080002
2017-06-05,47.200001
2017-06-06,46.810001
2017-06-07,46.91
2017-06-08,47.029999
2017-06-09,46.73
2017-06-12,46.459999
2017-06-13,46.705002
2017-06-14,47.220001
2017-06-15,47.48
2017-06-16,47.669998
2017-06-19,47.919998
2017-06-20,47.84
2017-06-21,47.080002
2017-06-22,46.869999
2017-06-23,46.735001
2017-06-26,46.889999
2017-06-27,46.755001
2017-06-28,45.790001
2017-06-29,45.07
2017-06-30,44.32
2017-07-03,44.610001
2017-07-05,44.580002
2017-07-06,44.255001
2017-07-07,44.349998
2017-07-10,44.259998
2017-07-11,43.93
2017-07-12,44.509998
2017-07-13,44.790001
2017-07-14,44.994999
2017-07-17,45.48
2017-07-18,45.470001
2017-07-19,45.470001
2017-07-20,45.560001
2017-07-21,45.875
2017-07-24,45.849998
2017-07-25,46
2017-07-26,46.075001
2017-07-27,46.169998
2017-07-28,46.57
2017-07-31,46.740002
2017-08-01,47.23
2017-08-02,47.110001
2017-08-03,47.049999
2017-08-04,46.73
2017-08-07,46.470001
2017-08-08,46.02
2017-08-09,45.369999
2017-08-10,45.459999
2017-08-11,45.830002
2017-08-14,46.209999
2017-08-15,46.48
2017-08-16,47.060001
2017-08-17,47.095001
2017-08-18,46.200001
2017-08-21,46.009998
2017-08-22,46.740002
2017-08-23,46.419998
2017-08-24,46.759998
2017-08-25,46.900002
2017-08-28,46.685001
2017-08-29,46.759998
2017-08-30,46.619999
2017-08-31,47.23
2017-09-01,47
2017-09-05,47.419998
2017-09-06,47.415001
2017-09-07,47.619999
2017-09-08,47.73
2017-09-11,48.150002
2017-09-12,48.490002
2017-09-13,48.330002
2017-09-14,47.375
2017-09-15,47.540001
2017-09-18,47.82
2017-09-19,47.810001
2017-09-20,48
2017-09-21,48.240002
2017-09-22,48.529999
2017-09-25,48.5
